,పేరు,పుస్తకం,రకం,ప్రచురణ తేది
404,ఇంద్రగంటి హనుమచ్ఛాస్త్రి,ఇంద్రగంటి హనుమచ్ఛాస్ర్తి కథలు,కథా సంపుటం,1945-01-01
405,ఇంద్రగంటి హనుమచ్ఛాస్త్రి,గౌతమీగాధలు,కథా సంపుటం,1981-03-04
406,ఇంద్రగంటి హనుమచ్ఛాస్త్రి,మౌన సుందరి,కథా సంపుటం,2006-01-01
407,ఇంద్రగంటి హనుమచ్ఛాస్త్రి,విజయదశమి,కథా సంపుటం,1951-01-01
408,వాడపల్లి శ్రీరామమూర్తి,నేస్తం నన్ను మన్నించు,కథా సంపుటం,2012-11-01
409,వాడపల్లి శ్రీరామమూర్తి,పాపతల్లి,కథా సంపుటం,2011-08-01
410,పి వి బి శ్రీరామమూర్తి,ముళ్లు,కథా సంపుటం,2000-01-01
411,పి వి బి శ్రీరామమూర్తి,వ్యంగ్యహాస్య కథలు,కథా సంపుటం,2008-02-01
412,తల్లావఝ్ఝల పతంజలి శాస్త్రి,తల్లావజ్ఝల పతంజలి శాస్త్రి కథలు,కథా సంపుటం,2006-01-01
413,తల్లావఝ్ఝల పతంజలి శాస్త్రి,నలుపెరుపు,కథా సంపుటం,2012-12-01
414,తల్లావఝ్ఝల పతంజలి శాస్త్రి,వడ్ల చిలకలు,కథా సంపుటం,1990-01-01
415,ఎస్ గణపతిరావు,కథాకేళి,కథా సంకలనం,2003-01-01
416,ఎస్ గణపతిరావు,నక్షత్రం,కథా సంపుటం,2009-09-01
417,ఎస్ గణపతిరావు,నిప్పుల తుఫాన్,కథా సంపుటం,2012-09-01
418,ఎస్ గణపతిరావు,భయంభయం,కథా సంపుటం,1995-02-01
419,ఎస్ గణపతిరావు,మరిగే తారు సరోవరం,కథా సంపుటం,2011-01-01
420,ఎ రామచంద్రయ్య,ఆసుపత్రి కథలు,కథా సంపుటం,2003-01-01
421,కాశీ విశ్వనాథ్,ఓ వర్షం రాత్రి,కథా సంపుటం,1977-10-01
422,కాశీ విశ్వనాథ్,పద్మశ్రీ,కథా సంపుటం,2001-01-01
423,అక్కినేని కుటుంబరావు,పనివాడితనం,కథా సంపుటం,2004-01-01
424,ఎస్ శ్రీదేవి,గుండెలోతు,కథా సంపుటం,2011-12-01
425,ఎస్ శ్రీదేవి,గూడు,కథా సంపుటం,2002-01-01
426,ఎస్ శ్రీదేవి,సింధూరి,కథా సంపుటం,2005-01-01
427,కొండముది శ్రీరామచంద్రమూర్తి,కొండముది శ్రీరామచంద్రమూర్తి కథలు,కథా సంపుటం,1966-01-01
428,కొండముది శ్రీరామచంద్రమూర్తి,పాములాటి బ్రతుకు,కథా సంపుటం,1976-01-01
429,కొండముది శ్రీరామచంద్రమూర్తి,శ్రీరామచంద్రమూర్తి కథలు,కథా సంపుటం,1970-01-01
430,సన్నపురెడ్డి వెంకటరామిరెడ్డి,కొత్త దుప్పటి,కథా సంపుటం,2008-05-01
431,సిహెచ్ ఎస్ ఆర్ ప్రసాద్,విషం కురిసిన రాత్రి,కథా సంపుటం,1991-01-01
432,సిహెచ్ ఎస్ ఆర్ ప్రసాద్,వేలంవెర్రి,కథా సంపుటం,2001-01-01
433,సిహెచ్ ఎస్ ఆర్ ప్రసాద్,సీనియర్ సిటిజన్ కథలు,కథా సంపుటం,2011-01-26
434,మైనేని వెంకటరత్నం,మరణించని మనిషి,కథా సంపుటం,2000-01-01
435,సంపాదకుడు,కథసమయమూ-సందర్భమూ,కథా సంకలనం,2000-01-01
436,సంపాదకుడు,కథా పత్రిక,కథా సంకలనం,2002-11-01
437,సంపాదకుడు,కథాకెరటాలు,కథా సంకలనం,2001-01-01
438,సంపాదకుడు,కథానిక,కథా సంకలనం,1955-07-01
439,సంపాదకుడు,కదంబం(59 సంకలనం),కథా సంకలనం,1953-01-01
440,సంపాదకుడు,గంగజాతర,కథా సంకలనం,2001-01-01
441,సంపాదకుడు,చౌరస్తా,కథా సంకలనం,2002-01-01
442,సంపాదకుడు,జాగృతి వారపత్రిక కథలు,కథా సంకలనం,1995-01-01
443,సంపాదకుడు,తెలుగు కథ 2000,కథా సంకలనం,2001-01-01
444,సంపాదకుడు,నవకథ,కథా సంకలనం,1997-01-01
445,సంపాదకుడు,బహుమతి కథలు,కథా సంకలనం,2000-12-01
446,సంపాదకుడు,మచ్చు తునకలు,కథా సంకలనం,2015-05-01
447,సంపాదకుడు,రసమయి,కథా సంకలనం,1966-01-01
448,సంపాదకుడు,విరి మల్లెలు,కథా సంకలనం,1978-01-01
449,సంపాదకుడు,వైద్యుల కథలు,కథా సంకలనం,1949-01-01
450,సంపాదకుడు,సంజీవని,కథా సంకలనం,2008-09-01
451,సంపాదకుడు,సినిమా కథల సంపుట-1,కథా సంకలనం,1993-01-01
452,పసుమర్తి వేణుగోపాలరావు,వేణుగోపాలరావు కథలు-నాటికలు,కథా సంపుటం,1980-01-01
453,పాలగిరి విశ్వప్రసాదరెడ్డి,చుక్కపొడిచింది,కథా సంపుటం,2006-02-01
454,పెరుమాండ్ల శ్రీదేవి,నీలిమేఘం,కథా సంపుటం,2005-01-01
455,బాలాంత్రపు శారదారావు,ఈ కథకు ముగింపు లేదు,కథా సంపుటం,1980-01-01
456,చాగంటి నాగరాజారావు,జివన రాగాలు,కథా సంపుటం,1999-01-01
457,శివం,ఇష్టసిద్ధి,కథా సంపుటం,1958-04-01
458,శివం,కథాసాగరం 9,కథా సంపుటం,1956-01-01
459,శివం,వెన్నెల్లో మానవుడు,కథా సంపుటం,1957-10-01
460,అవసరాల రామకృష్ణారావు,అయిదురకాల ఆత్మహత్యలు,కథా సంపుటం,1987-01-01
461,అవసరాల రామకృష్ణారావు,అర్ధమున్న కథలు,కథా సంపుటం,1962-01-01
462,అవసరాల రామకృష్ణారావు,అవసరాల రామకృష్ణారావు కథలు,కథా సంపుటం,1997-01-01
463,అవసరాల రామకృష్ణారావు,ఆస్తిపంజరం,కథా సంపుటం,2006-01-01
464,అవసరాల రామకృష్ణారావు,కథావాహిని 6,కథా సంపుటం,1955-01-01
465,అవసరాల రామకృష్ణారావు,నాకునువ్వూ నీకునేను,కథా సంపుటం,1971-10-01
466,అవసరాల రామకృష్ణారావు,పేకముక్కలు,కథా సంపుటం,1999-07-01
467,అవసరాల రామకృష్ణారావు,మనం మనం బరంపురం,కథా సంకలనం,1991-03-01
468,అవసరాల రామకృష్ణారావు,మనం మనుషులం,కథా సంపుటం,1978-07-01
469,అవసరాల రామకృష్ణారావు,మోహనరాగం,కథా సంపుటం,1978-07-01
470,గురజాడ శోభాపేరిందేవి,స్వీట్ 60,కథా సంపుటం,2006-01-01
471,బలివాడ కాంతారావు,అంతరాత్మ,కథా సంపుటం,1956-01-01
472,బలివాడ కాంతారావు,అన్నపూర్ణ,కథా సంపుటం,1968-03-01
473,బలివాడ కాంతారావు,కావడి కుండలు,కథా సంపుటం,1955-01-01
474,బలివాడ కాంతారావు,గోపురం,కథా సంపుటం,2001-01-01
475,బలివాడ కాంతారావు,బ.కా.రా. కథలు 87,కథా సంపుటం,1987-01-01
476,బలివాడ కాంతారావు,బ.కా.రా. కథలు 94,కథా సంపుటం,1994-01-01
477,బలివాడ కాంతారావు,బూచీ,కథా సంపుటం,1959-01-01
478,బలివాడ కాంతారావు,బూచీ,కథా సంపుటం,1952-01-01
479,పోతంశెట్టి సత్యనారాయణరెడ్డి,రేపటి వెలుగు,కథా సంపుటం,1987-01-01
480,పాలకోడేటి సత్యనారాయణరావు,ఏరుదాటినకెరటం,కథా సంపుటం,1976-01-01
481,పాలకోడేటి సత్యనారాయణరావు,పాలకోడేటి సత్యనారాయణరావు కథలు,కథా సంపుటం,2008-12-01
482,సింగితం శ్రీనివాసరావు,క రాజు కథలు,కథా సంపుటం,2005-09-01
483,కోపల్లె విజయప్రసాద్,ఆగామి వసంతం,కథా సంపుటం,2013-11-28
484,కోపల్లె విజయప్రసాద్,బాసుగారు కుక్కగారు,కథా సంపుటం,2008-02-01
485,కోపల్లె విజయప్రసాద్,విలువలు,కథా సంపుటం,2002-03-01
486,కోపల్లె విజయప్రసాద్,హాస్యకథ 2010,కథా సంకలనం,2013-09-01
487,కోపల్లె విజయప్రసాద్,హాస్యకథ 2011,కథా సంకలనం,2013-12-01
488,కోపల్లె విజయప్రసాద్,హాహా హాస్యానందం,కథా సంపుటం,2011-12-01
489,మొలకలపల్లి కోటేశ్వరరావు,సేజ్జెగాడు,కథా సంపుటం,2009-12-01
490,చందు హర్షవర్ధన్,ది సెల్,కథా సంపుటం,1989-01-01
491,ఎస్ వి జోగారావు,యస్వీయం,ఫీచర్,1988-01-01
492,ఎస్ వి జోగారావు,సువర్ణ శృంఖల,కథా సంపుటం,1961-11-01
493,భండారు అచ్చమాంబ,తొలి తెలుగు కథలు(భండారు),కథా సంపుటం,2010-01-01
494,పోలిశెట్టి నాగేశ్వరరావు,జీవిత భాగ్యం,కథా సంపుటం,1966-01-01
495,బమ్మిడి జగదీశ్వరరావు,అమ్మ చెప్పిన కథలు,కథా సంపుటం,2002-01-01
496,బమ్మిడి జగదీశ్వరరావు,దేవుళ్లూ దెయ్యాలూ..,కథా సంపుటం,1999-01-01
497,బమ్మిడి జగదీశ్వరరావు,పిండొడిం,కథా సంపుటం,1998-01-01
498,బమ్మిడి జగదీశ్వరరావు,పిత్తపరిగి కత,కథా సంపుటం,2003-01-01
499,బమ్మిడి జగదీశ్వరరావు,మట్టి తీగలు,కథా సంపుటం,2000-01-01
500,బమ్మిడి జగదీశ్వరరావు,రెక్కలగూడు,కథా సంపుటం,1996-01-01
501,బొమ్మిరెడ్డిపల్లి సూర్యారావు,కథావాహిని 4,కథా సంపుటం,1954-01-01
502,బొమ్మిరెడ్డిపల్లి సూర్యారావు,కలలు కథలు,కథా సంపుటం,1979-01-01
503,బొమ్మిరెడ్డిపల్లి సూర్యారావు,సువర్ణ రేఖలు,కథా సంపుటం,1962-01-01
504,ఇచ్ఛాపురపు రామచంద్రరావు,దారిపక్కదీపాలు,కథా సంపుటం,2000-01-01
505,ఇచ్ఛాపురపు రామచంద్రరావు,సిద్ధార్ధ,కథా సంపుటం,2004-01-01
506,శాయి,కథామహల్ 1999,కథా సంకలనం,1999-01-01
507,ఉప్పల లక్ష్మణరావు,గెరిల్లా,కథా సంపుటం,1982-01-01
508,ఉప్పల లక్ష్మణరావు,నిద్రలేని రాత్రి,కథా సంపుటం,1983-01-01
509,కె సూర్యముఖి,సర్పాలు సర్పదష్టులు,కథా సంపుటం,1998-01-01
510,పెమ్మరాజు వేణుగోపాలరావు,అమెరికా తెలుగు కథ 11,కథా సంకలనం,2010-10-01
511,పెమ్మరాజు వేణుగోపాలరావు,అమెరికా తెలుగు కథానిక 1,కథా సంకలనం,1995-01-01
512,పెమ్మరాజు వేణుగోపాలరావు,అమెరికా తెలుగు కథానిక 4,కథా సంకలనం,1997-01-01
513,పెమ్మరాజు వేణుగోపాలరావు,అమెరికా తెలుగు కథానిక 5,కథా సంకలనం,1998-01-01
514,తవ్వా ఓబుల్ రెడ్డి,కడప కథ,కథా సంకలనం,2007-01-01
515,కె రామిరెడ్డి,అబలలూ అనుమానాలూ,కథా సంపుటం,1967-01-01
516,అన్వేషి,వలస,కథా సంపుటం,1970-02-01
517,ఎనుగంటి వేణుగోపాల్,అమ్మానాన్న,కథా సంపుటం,2007-01-01
518,ఎనుగంటి వేణుగోపాల్,ఎనుగంటి కాలం కథలు,కథా సంపుటం,2014-12-01
519,ఎనుగంటి వేణుగోపాల్,గోపాలం,కథా సంపుటం,2008-01-01
520,ఎనుగంటి వేణుగోపాల్,నవరస భరితం,కథా సంపుటం,2009-12-01
521,ఎనుగంటి వేణుగోపాల్,నామినీ కథలు,కథా సంపుటం,2013-01-01
522,ఎనుగంటి వేణుగోపాల్,నాలుగు పుటలు,కథా సంపుటం,2011-11-01
523,ఎనుగంటి వేణుగోపాల్,బుజ్జిగాడి బెంగ,కథా సంపుటం,2015-06-01
524,సుద్దపల్లి వెంకటకృష్ణ,కడలి కెరటం,కథా సంపుటం,2009-05-10
525,సుద్దపల్లి వెంకటకృష్ణ,మిసెస్ చక్రపాణి,కథా సంపుటం,2008-01-01
526,చౌడేశ్వరీదేవి,పతివ్రత,కథా సంపుటం,1950-01-01
527,చౌడేశ్వరీదేవి,బలిదానం,కథా సంపుటం,1955-01-01
528,యండమూరి వీరేంద్రనాథ్,ఆ ఒక్కటీ అడక్కు,కథా సంపుటం,1991-01-01
529,యండమూరి వీరేంద్రనాథ్,క్షమించు సుప్రియా 91,కథా సంపుటం,1991-01-01
530,యండమూరి వీరేంద్రనాథ్,క్షమించు సుప్రియా 97,కథా సంపుటం,1997-01-01
531,యండమూరి వీరేంద్రనాథ్,ది బెస్ట్ ఆప్ యండమూరి  వీరేంద్రనాథ్,కథా సంపుటం,1994-01-01
532,యండమూరి వీరేంద్రనాథ్,నిశ్శబ్దం నీకూనాకూ మధ్య,కథా సంపుటం,1991-01-01
533,కథక్ మిత్ర,ఊరు(కథక్ మిత్ర),కథా సంపుటం,1972-07-01
534,సింగరాజు లింగమూర్తి,క్షమామూర్తులు,కథా సంపుటం,1973-12-01
535,సింగరాజు లింగమూర్తి,రెండు నాలుకలు(సింగ),కథా సంపుటం,1964-01-01
536,సింగరాజు లింగమూర్తి,సాలెగూడు,కథా సంపుటం,1962-01-01
537,సింగరాజు లింగమూర్తి,స్మృతిచిహ్నం,కథా సంపుటం,1962-01-01
538,పుచ్చా పూర్ణానందం,ఆవకాయ--అమరత్వం,కథా సంపుటం,1966-01-01
539,పుచ్చా పూర్ణానందం,ఆషాఢపట్టి,కథా సంపుటం,1971-01-01
540,పుచ్చా పూర్ణానందం,కవి నియంత,కథా సంపుటం,1951-01-01
541,పుచ్చా పూర్ణానందం,మీసాలసొగసులు,ఫీచర్,1984-01-01
542,సుంకర వి హనుమంతరావు,అమ్మో అమ్మాయేనా,కథా సంపుటం,2007-01-01
543,జయంతి వెంకటరమణ,ఆశ్లేష,కథా సంపుటం,2009-01-01
544,జయంతి వెంకటరమణ,పొన్న,కథా సంపుటం,1981-01-01
545,కొమ్మూరి పద్మావతీదేవి,పొగడదండ,కథా సంపుటం,1946-05-01
546,మార్క వెంకట్రాములు,జంగిడి,కథా సంపుటం,2012-03-01
547,అధరాపురపు తేజోవతి,సాక్ష్యం చెప్పని కృష్ణమ్మ,కథా సంపుటం,2011-12-01
548,రావిపాటి ఇందిరామోహన్ దాస్,నింగి మేలను...,కథా సంపుటం,1999-01-01
549,విప్పర్తి ప్రణవమూర్తి,కోణార్క ఎక్సుప్రెస్,కథా సంపుటం,1995-01-01
550,విప్పర్తి ప్రణవమూర్తి,కౌగిట్లో కాలం,కథా సంపుటం,2001-01-01
551,పాలంకి సత్య,కథాలహరి(పాలంకి),కథా సంపుటం,2004-12-01
552,మునికృష్ణ,ఏనుగు చీమ...,కథా సంపుటం,2000-01-01
553,మునికృష్ణ,హిజ్ మాస్టర్స్ వాయిస్,కథా సంపుటం,2002-01-01
554,మంగారి రాజేందర్,జింబో కథలు,కథా సంపుటం,2004-01-01
555,మంగారి రాజేందర్,రూల్ ఆఫ్ లా,ఫీచర్,2000-01-01
556,భీశెట్టి వెంకటేశ్వరరావు,అయితే,కథా సంపుటం,2008-11-01
557,కె సరోజ,మంచుపూలు,కథా సంపుటం,1991-01-01
558,కె సరోజ,మబ్బుల్లో నక్షత్రాలు,కథా సంపుటం,1983-01-01
559,సౌరిస్,కథాసాగరం  6,కథా సంపుటం,1955-01-01
560,సౌరిస్,సౌరిస్ కధలు,కథా సంపుటం,1997-01-01
561,సిహెచ్ వి బృందావనరావు,కొత్తతరం,కథా సంపుటం,2011-01-01
562,పి వెంకటరెడ్డి,జీవనరేఖలు,కథా సంపుటం,2000-01-01
563,పి వెంకటరెడ్డి,జీవనరేఖలు(69),కథా సంపుటం,1969-01-01
564,రాధా మనోహరన్,దుద్దులజత,కథా సంపుటం,1972-01-01
565,రాధా మనోహరన్,రాధామనోహరాలు,కథా సంపుటం,1978-01-01
566,వై ఎస్ లత,యవనిక,కథా సంపుటం,2009-10-01
567,పెనుగొండ లక్ష్మీనారాయణ,కథాస్రవంతి 1,కథా సంకలనం,1984-10-01
568,పెనుగొండ లక్ష్మీనారాయణ,కథాస్రవంతి 2,కథా సంకలనం,1985-09-01
569,పెనుగొండ లక్ష్మీనారాయణ,కథాస్రవంతి 3,కథా సంకలనం,1988-10-01
570,పెనుగొండ లక్ష్మీనారాయణ,కథాస్రవంతి 4,కథా సంకలనం,1991-04-01
571,మునిమాణిక్యం రఘునాథ యాజ్ఞవల్క్య,ఇహంపరం,కథా సంపుటం,1975-01-01
572,మునిమాణిక్యం రఘునాథ యాజ్ఞవల్క్య,నిత్యమల్లి,కథా సంపుటం,1968-01-01
573,మునిమాణిక్యం రఘునాథ యాజ్ఞవల్క్య,పంకజం,కథా సంపుటం,1975-01-01
574,మునిమాణిక్యం రఘునాథ యాజ్ఞవల్క్య,మంచిమనిషి...,కథా సంపుటం,1967-01-01
575,మునిమాణిక్యం రఘునాథ యాజ్ఞవల్క్య,సిల్కుచీర,కథా సంపుటం,1960-01-01
576,ఎమ్ రత్నమాల,గమనం ఘర్షణ గమ్యం,కథా సంపుటం,2004-01-01
577,మల్లిక్,మల్లిక్ కథలు,కథా సంపుటం,1982-01-01
578,యర్రా మురళీకృష్ణమోహన్,మురళీకృష్ణ మోహన్ కథలు,కథా సంపుటం,1955-01-01
579,ఎ కె ఆర్ మూర్తి,పూర్ణిమ,కథా సంపుటం,1980-01-01
580,బోయ జంగయ్య,అడవిపూలు,కథా సంపుటం,2005-01-01
581,బోయ జంగయ్య,ఇప్పపూలు,కథా సంపుటం,2003-01-01
582,బోయ జంగయ్య,ఉప్పునీరు,కథా సంపుటం,2002-01-01
583,బోయ జంగయ్య,ఎచ్చరిక,కథా సంపుటం,1996-01-01
584,బోయ జంగయ్య,కొత్త పాఠాలు,కథా సంపుటం,1998-01-01
585,బోయ జంగయ్య,గొర్రెలు,కథా సంపుటం,1980-01-01
586,బోయ జంగయ్య,చీమలు,కథా సంపుటం,1996-01-01
587,బోయ జంగయ్య,తెలంగాణా వెతలు,కథా సంపుటం,1998-01-01
588,బోయ జంగయ్య,దున్న,కథా సంపుటం,1993-01-01
589,బోయ జంగయ్య,బడిలో చెప్పని పాఠాలు,కథా సంపుటం,2000-01-01
590,బోయ జంగయ్య,బోజ కథలు,కథా సంపుటం,2000-09-01
591,బోయ జంగయ్య,రంగులు(బోయ),కథా సంపుటం,1994-01-01
592,సూరి,పాపికొండలు,కథా సంపుటం,1960-01-01
593,కె ఎస్ వి,కేఎస్వీ సరసమైన కథలు,కథా సంపుటం,2012-08-01
594,ద్వివేదుల విశాలాక్షి,ఆమె కోరిక,కథా సంపుటం,1967-02-01
595,ద్వివేదుల విశాలాక్షి,కథామాలిక(ద్వివేదుల),కథా సంపుటం,1995-01-01
596,ద్వివేదుల విశాలాక్షి,తప్పెవరిది,కథా సంపుటం,2010-09-01
597,ద్వివేదుల విశాలాక్షి,భావబంధం,కథా సంపుటం,1973-06-01
598,మాదేటి కృష్ణమోహనరావు,క్రీనీడలు,కథా సంపుటం,2001-01-01
599,డి వి నరసరాజు,అక్షింతలు,ఫీచర్,1995-01-01
600,నందిగం కృష్ణారావు,నాలుగుకాళ్ల న్యాయం,కథా సంపుటం,1999-01-01
601,నందిగం కృష్ణారావు,రెప్పవేయని కథలు,కథా సంపుటం,2004-01-01
602,కాంచనపల్లి చినవెంకటరామారావు,కాంచనపల్లి చినవెంకటరామారావు కథలు,కథా సంపుటం,2010-04-01
603,కాంచనపల్లి చినవెంకటరామారావు,మనవూళ్లో కూడానా,కథా సంపుటం,1973-11-01
604,నండూరి సూర్యనారాయణమూర్తి,ఉగాది పచ్చడి,కథా సంపుటం,2004-01-01
605,ఎమ్ ఎస్ బాబూరావు,ఒంటరి గమనం,కథా సంపుటం,2000-01-01
606,కె వి ఎస్ రామారావు,ఈనేల ఆ గాలి,కథా సంకలనం,2002-01-01
607,దివి వెంకట్రామయ్య,డి. వెంకట్రామయ్య కథలు,కథా సంపుటం,1997-01-01
608,రిషిమంగలం మహదేవన్ చిదంబరం,ఆర్.ఎమ్. చిదంబరం కథలు,కథా సంపుటం,2001-04-01
609,కె విశ్వనాథపిళ్లై,పరిష్కారం,కథా సంపుటం,1978-01-01
610,కె విశ్వనాథపిళ్లై,పరిష్కారం(కావి),కథా సంపుటం,2009-11-01
611,కె విశ్వనాథపిళ్లై,మిస్ శ్రీరంగపట్టణం,కథా సంపుటం,1998-01-01
612,ముద్దంశెట్టి హనుమంతరావు,అతకని ఆంతర్యాలు,కథా సంపుటం,1966-01-01
613,ముద్దంశెట్టి హనుమంతరావు,కలకరిగింది,కథా సంపుటం,1967-01-01
614,ముద్దంశెట్టి హనుమంతరావు,పారిజాతం(ముద్దంశెట్టి),కథా సంపుటం,2003-01-01
615,ముద్దంశెట్టి హనుమంతరావు,ముద్దంశెట్టి హనుమంతరావు కథలు,కథా సంపుటం,1995-01-01
616,ముద్దంశెట్టి హనుమంతరావు,సహనశీలి,కథా సంపుటం,1966-01-01
617,జొన్నలగడ్డ రాజగోపాలరావు,చిరునవ్వు వెల ఎంత,కథా సంపుటం,2003-02-01
618,జొన్నలగడ్డ రాజగోపాలరావు,రసికరాజ తగువారము కామా,కథా సంపుటం,1996-01-01
619,చిట్టా దామోదరశాస్త్రి,అపురూప కథావీధి,కథా సంపుటం,1994-01-01
620,చిట్టా దామోదరశాస్త్రి,అమృతోత్సవ కథావీధి,కథా సంపుటం,2001-01-01
621,చిట్టా దామోదరశాస్త్రి,ఆనందామృత కథావీధి,కథా సంపుటం,1998-01-01
622,చిట్టా దామోదరశాస్త్రి,ఆపాత మధుర ...,కథా సంపుటం,2005-01-01
623,చిట్టా దామోదరశాస్త్రి,స్వారస్యం,కథా సంపుటం,2010-12-02
624,గఫూర్ బేగ్,నిరపరాధులు,కథా సంపుటం,1970-01-01
625,కూటికుప్పల సూర్యారావు,ఒక చలనం ఒక జ్వలనం,కథా సంపుటం,2013-01-01
626,మర్రెబోయిన శ్రీరామమూర్తి,కథాలాపన,కథా సంపుటం,2006-01-01
627,కె పద్మప్రియ,ఉద్యోగ పర్వాలు,కథా సంపుటం,1971-01-01
628,కాసుల ప్రతాపరెడ్డి,ఎల్లమ్మ కథలు,కథా సంపుటం,2006-01-01
629,కాసుల ప్రతాపరెడ్డి,శిలువకు తొడిగిన మొగ్గ,కథా సంపుటం,1999-12-01
630,బూర్గుల విజయలక్ష్మీరాజ్,అవినీతి కథలు,కథా సంపుటం,1981-01-01
631,బూర్గుల విజయలక్ష్మీరాజ్,ఇదీనిజమే(కలంతార),కథా సంపుటం,1975-01-01
632,గుమ్మా ప్రసాదరావు,సంకల్పం,కథా సంపుటం,2007-11-24
633,గుమ్మా ప్రసాదరావు,సంబంధం,కథా సంపుటం,2008-11-22
634,తిరువీధుల జగన్మోహనరావు,కథామాలిక,కథా సంపుటం,1981-01-01
635,గుత్తుల భాస్కరరావు,చివరికి..,కథా సంపుటం,2009-03-01
636,పచ్చిగోళ్ల సుధ,ప్రేమ పరిమళం,కథా సంపుటం,1993-01-01
637,సత్తిరాజు లక్ష్మీనారాయణ,కథ1,కథా సంకలనం,1960-11-01
638,సత్తిరాజు లక్ష్మీనారాయణ,బొమ్మా బొరుసు,కథా సంపుటం,1995-01-01
639,గంటేడ గౌరునాయుడు,ఏటిపాట,కథా సంపుటం,1997-01-01
640,గంటేడ గౌరునాయుడు,ఒకరాత్రి రెండు స్వప్నాలు,కథా సంపుటం,2006-01-01
641,గంటేడ గౌరునాయుడు,కథాపార్వతీపురం,కథా సంకలనం,2012-02-01
642,గంటేడ గౌరునాయుడు,కళింగోర,ఫీచర్,2001-01-01
643,దాసరి శిరీష,సమిధలు,కథా సంపుటం,1990-01-01
644,ఎ వి రెడ్డిశాస్త్రి,అసంగత సంగతాలు,కథా సంపుటం,1996-01-01
645,ఎ వి రెడ్డిశాస్త్రి,ఈ మంటలు చల్లారవు,కథా సంపుటం,2004-01-01
646,డి రామచంద్రరాజు,అవును నిజమే,కథా సంపుటం,2012-01-01
647,డి రామచంద్రరాజు,నాగుమణి నవ్వింది,కథా సంపుటం,2008-01-01
648,కొత్త సత్యనారాయణ చౌదరి,స్వరాజ్య కథలు,కథా సంపుటం,1953-01-01
649,కె రాంమోహనరాజు,అనామకుడి డైరీ,కథా సంపుటం,1983-01-01
650,కె రాంమోహనరాజు,అనామకుడి డైరీ,కథా సంపుటం,2002-01-01
651,శ్రీకంఠస్ఫూర్తి,అమృతవర్షం,కథా సంపుటం,1996-01-01
652,శ్రీకంఠస్ఫూర్తి,మనిషి చిత్రం,కథా సంపుటం,2011-01-01
653,పాలగుమ్మి పద్మరాజు,ఎదురు చూస్తున్న ముహూర్తం,కథా సంపుటం,1989-01-01
654,పాలగుమ్మి పద్మరాజు,గాలివాన,కథా సంపుటం,1984-01-01
655,పాలగుమ్మి పద్మరాజు,పడవ ప్రయాణం,కథా సంపుటం,1985-03-01
656,పాలగుమ్మి పద్మరాజు,పాలగుమ్మి పద్మరాజు 1,కథా సంపుటం,2008-11-01
657,పి చంద్రశేఖరఆజాద్,మూడ్స్,ఫీచర్,2002-01-01
658,పి చంద్రశేఖరఆజాద్,రోడ్డుమీద గులాబి,కథా సంపుటం,1993-01-01
659,పులిచెర్ల సుబ్బారావు,హంసావళి,కథా సంపుటం,1997-01-01
660,వాసవదత్త రమణ,ఒంటరి నక్షత్రం,కథా సంపుటం,2009-07-01
661,జి హరిశ్చంద్రప్రసాద్,పద్నాలుగు కథలు,కథా సంపుటం,1997-01-01
662,అనువాదకులు,కోల్పోయిన ప్రపంచం,కథా సంకలనం,2006-11-01
663,అనువాదకులు,నాదేశం నా ప్రజలు,కథా సంపుటం,2007-01-01
664,ఉన్నవ వెంకటహరగోపాల్,మదర్పిత...,కథా సంపుటం,2009-09-01
665,దాట్ల నారాయణమూర్తి రాజు,ఊగరా ఊగరా,కథా సంపుటం,1998-01-01
666,పాపినేని శివశంకర్,మట్టి గుండె,కథా సంపుటం,1992-01-01
667,పాపినేని శివశంకర్,విస్మృత కథ,కథా సంకలనం,1995-01-01
668,పాపినేని శివశంకర్,సగం తెరిచిన తలుపు,కథా సంపుటం,2008-11-01
669,ఆర్ ఎమ్ ఉమామహేశ్వరరావు,కథ నేపధ్యం,కథా సంకలనం,2013-01-03
670,చాగంటి శంకర్,శంకర్ కథలు,కథా సంపుటం,1995-01-01
671,వాడ్రేవు శ్రీ జోగిపంతులు,కథానికలు 1968,కథా సంకలనం,1969-03-01
672,కె వి ఆచార్య,అంతస్స్రవంతి,కథా సంపుటం,1961-01-01
673,జి సి జీవి,వర్షించని మేఘాలు,కథా సంపుటం,2010-07-01
674,జి సి జీవి,వర్షించిన మేఘాలు,కథా సంపుటం,1981-01-01
675,దుట్టా శమంతకమణి,ఆకాశమంత,కథా సంపుటం,2015-04-01
676,సోమరాజు సుశీల,ఇల్లేరమ్మ కతలు,కథా సంపుటం,2000-01-01
677,సోమరాజు సుశీల,చిన్న పరిశ్రమలు పెద్ద కథలు,వరస కథలు,1999-01-01
678,సోమరాజు సుశీల,దీపశిఖ,కథా సంపుటం,2009-06-01
679,వారణాసి సూర్యకుమారి,మానినీ మానసం,కథా సంపుటం,2007-01-01
680,పి శ్రీదేవి,ఉరుములు మెరుపులు,కథా సంపుటం,1957-01-01
681,జూకంటి జగన్నాథం,వైపని,కథా సంపుటం,2004-01-01
682,శ్రీరాజ్,ఒక్కక్షణం,కథా సంపుటం,1983-01-01
683,శ్రీరాజ్,చుక్కల సీమ,కథా సంపుటం,1985-01-01
